question,model_answer,student_answer,grade,source,ID
how african americans were immigrated to the us,"as such, african immigrants are to be distinguished from african american people, the latter of whom are descendants of mostly west and central africans who were involuntarily brought to the united states by means of the historic atlantic slave trade .",african immigration to the united states refers to immigrants to the united states who are or were nationals of africa .,0.0,wikiqa.csv,0
how african americans were immigrated to the us,"as such, african immigrants are to be distinguished from african american people, the latter of whom are descendants of mostly west and central africans who were involuntarily brought to the united states by means of the historic atlantic slave trade .",the term african in the scope of this article refers to geographical or national origins rather than racial affiliation.,0.0,wikiqa.csv,0
how african americans were immigrated to the us,"as such, african immigrants are to be distinguished from african american people, the latter of whom are descendants of mostly west and central africans who were involuntarily brought to the united states by means of the historic atlantic slave trade .","from the immigration and nationality act of 1965 to 2007, an estimated total of 0.8 to 0.9 million africans immigrated to the united states, accounting for roughly 3.3% of total immigration to the united states during this period.",0.0,wikiqa.csv,0
how african americans were immigrated to the us,"as such, african immigrants are to be distinguished from african american people, the latter of whom are descendants of mostly west and central africans who were involuntarily brought to the united states by means of the historic atlantic slave trade .",african immigrants in the united states come from almost all regions in africa and do not constitute a homogeneous group.,0.0,wikiqa.csv,0
how african americans were immigrated to the us,"as such, african immigrants are to be distinguished from african american people, the latter of whom are descendants of mostly west and central africans who were involuntarily brought to the united states by means of the historic atlantic slave trade .","they include people from different national, linguistic, ethnic, racial, cultural and social backgrounds.",0.0,wikiqa.csv,0
how african americans were immigrated to the us,"as such, african immigrants are to be distinguished from african american people, the latter of whom are descendants of mostly west and central africans who were involuntarily brought to the united states by means of the historic atlantic slave trade .","as such, african immigrants are to be distinguished from african american people, the latter of whom are descendants of mostly west and central africans who were involuntarily brought to the united states by means of the historic atlantic slave trade .",1.0,wikiqa.csv,0
how are glacier caves formed?,a glacier cave is a cave formed within the ice of a glacier .,a partly submerged glacier cave on peri to moreno glacier .,0.0,wikiqa.csv,0
how are glacier caves formed?,a glacier cave is a cave formed within the ice of a glacier .,the ice facade is approximately 60 a high,0.0,wikiqa.csv,0
how are glacier caves formed?,a glacier cave is a cave formed within the ice of a glacier .,ice formations in the titles glacier cave,0.0,wikiqa.csv,0
how are glacier caves formed?,a glacier cave is a cave formed within the ice of a glacier .,a glacier cave is a cave formed within the ice of a glacier .,1.0,wikiqa.csv,0
how are glacier caves formed?,a glacier cave is a cave formed within the ice of a glacier .,"glacier caves are often called ice caves , but this term is properly used to describe bedrock caves that contain year-round ice.",0.0,wikiqa.csv,0
how a water pump works,"pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid.","a small, electrically powered pump",0.0,wikiqa.csv,0
how a water pump works,"pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid.","a large, electrically driven pump (electro pump) for waterworks near the hensley see , germany .",0.0,wikiqa.csv,0
how a water pump works,"pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid.","a pump is a device that moves fluids ( liquids or gases ), or sometimes flurries , by mechanical action.",0.0,wikiqa.csv,0
how a water pump works,"pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid.","pumps can be classified into three major groups according to the method they use to move the fluid: direct lift, displacement, and gravity pumps.",0.0,wikiqa.csv,0
how a water pump works,"pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid.","pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid.",1.0,wikiqa.csv,0
how a water pump works,"pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid.","pumps operate via many energy sources, including manual operation, electricity, engines , or wind power .",0.0,wikiqa.csv,0
"how big is bic software in houston, to","for 2011, the company recorded an annual revenue of $2.1 billion, making it the #20 largest software company in terms of revenue for that year.","bmc software, inc. is an american company specializing in business service management (bsm) software.",0.0,wikiqa.csv,0
"how big is bic software in houston, to","employing over 6,000, bmc is often credited with pioneering the bsm concept as a way to help better align it operations with business needs.","headquartered in houston , texas , bmc develops, markets and sells software used for multiple functions, including it service management, data center automation, performance management, virtualisation life cycle management and cloud computing management.",0.0,wikiqa.csv,0
"how big is bic software in houston, to","for 2011, the company recorded an annual revenue of $2.1 billion, making it the #20 largest software company in terms of revenue for that year.","the name ""bmc"" is taken from the surnames of its three founders scott roulette, john moore, and dan closer.",0.0,wikiqa.csv,0
"how big is bic software in houston, to","employing over 6,000, bmc is often credited with pioneering the bsm concept as a way to help better align it operations with business needs.","employing over 6,000, bmc is often credited with pioneering the bsm concept as a way to help better align it operations with business needs.",1.0,wikiqa.csv,0
"how big is bic software in houston, to","for 2011, the company recorded an annual revenue of $2.1 billion, making it the #20 largest software company in terms of revenue for that year.","for 2011, the company recorded an annual revenue of $2.1 billion, making it the #20 largest software company in terms of revenue for that year.",1.0,wikiqa.csv,0
how much is 1 tablespoon of water,this tablespoon has a capacity of about 15 my.,this tablespoon has a capacity of about 15 my.,1.0,wikiqa.csv,0
how much is 1 tablespoon of water,this tablespoon has a capacity of about 15 my.,measuring spoons,0.0,wikiqa.csv,0
how much is 1 tablespoon of water,this tablespoon has a capacity of about 15 my.,"in the us and parts of canada, a tablespoon is the largest type of spoon used for eating from a bowl.",0.0,wikiqa.csv,0
how much is 1 tablespoon of water,this tablespoon has a capacity of about 15 my.,"in the uk, europe and most commonwealth countries, a tablespoon is a type of large spoon usually used for serving.",0.0,wikiqa.csv,0
how much is 1 tablespoon of water,this tablespoon has a capacity of about 15 my.,"in countries where a tablespoon is a serving spoon, the nearest equivalent to the us tablespoon is either the dessert spoon or the soup spoon .",0.0,wikiqa.csv,0
how much is 1 tablespoon of water,in the usa one tablespoon (measurement unit) is approximately 15 my; the capacity of an actual tablespoon (dining utensil) ranges from 7 my to 14 my.,in the usa one tablespoon (measurement unit) is approximately 15 my; the capacity of an actual tablespoon (dining utensil) ranges from 7 my to 14 my.,1.0,wikiqa.csv,0
how much is 1 tablespoon of water,in australia one tablespoon (measurement unit) is 20 my.,in australia one tablespoon (measurement unit) is 20 my.,1.0,wikiqa.csv,0
