question,model_answer,student_answer,grade,source,ID
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,to simulate the behaviour of portions of the desired software product.,0.7,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,to simulate portions of the desired final product with a quick and easy program that does a small specific job. it is a way to help see what the problem is and how you may solve it in the final project.,1.0,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,a prototype program simulates the behavior of portions of the desired software product to allow for error checking.,0.8,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,"defined in the specification phase a prototype stimulates the behavior of portions of the desired software product.  meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",1.0,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,it is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. this can generate much feedback including software specifications and project estimations of the total project.,0.6,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,to find problem and errors in a program before it is finalized,0.4,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,"to address major issues in the creation of the program. there is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible.",0.5,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,you can break the whole program into prototype programs to simulate parts of the final program,1.0,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,-to provide an example or model of how the finished program should perform.<by>  -provides foresight of some of the challenges that would be encountered.<by>  -provides opportunity to introduce changes to the finished program.,0.7,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,simulating the behavior of only a portion of the desired software product.,1.0,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,a program that stimulates the behavior of portions of the desired software product.,1.0,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,a program that simulates the behavior of portions of the desired software product.,1.0,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,to lay out the basics and give you a starting point in the actual problem solving.,0.4,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,to simulate problem solving for parts of the problem,0.9,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,a prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.,0.4,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,"a prototype program is a part of the specification phase of software problem solving.  it'a employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",0.9,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,program that simulates the behavior of portions of the desired software product,1.0,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,it provides a limited proof of concept to verify with the client before actually programming the whole application.<by>,0.4,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,it tests the main function of the program while leaving out the finer details.<by>,0.4,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,to get early feedback from users in early stages of development.  to show users a first idea of what the program will do/look like.  to make sure the program will meet requirements before intense programming begins.,0.5,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,it simulates the behavior of portions of the desired software product,1.0,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,it simulates the behavior of portions of the desired software product.,1.0,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,a prototype program is used in problem solving to collect data for the problem.,0.3,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,to ease the understanding of problem under discussion and to ease the understanding of the program itself,0.5,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,the role of a prototype program is to help spot key problems that may arise during the actual programming.,0.4,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,"the prototype program gives a general idea of what the end product will do,  <by><by>without the time and effort to write out the entire program.",0.6,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,to show that a certain part of the program works as it is supposed to,0.6,short_answer_grading.csv,0
what is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,"prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i.a. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the ooa/design lvi before proceeding into creating a solution.",0.5,short_answer_grading.csv,0
what stages in the software life cycle are influenced by the testing stage?,the testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),refining and possibly the design if the testing phase reveals problems in the design.   production can be affected if the program is unworkable in its current form which will lead to a later production time than originally estimated.   also affects coding because after testing you may need to rewrite the code for the program to remove errors.,0.7,short_answer_grading.csv,0
what stages in the software life cycle are influenced by the testing stage?,the testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),the implementation phase and the maintenance phase are effected,0.8,short_answer_grading.csv,0
